CO_MUNICIP;CO_MUNICDV;CO_STATUS;DS_NOME;SG_UF;IN_CAPITAL;IN_AMAZLEG;IN_SEMIAR;IN_FRONTZN;DT_INSTAL;DT_EXTIN;CO_SUCESS;NU_LATITUD;NU_LONGIT;NU_ALTITUD;NU_AREA
314470;6;S;NOVA ERA;MG;N;N;N;N;1938;;;-197.500;-430.380;529;363
521487;9;S;NOVA IGUACU DE GOIAS;GO;N;N;N;N;1993;;;-142.890;-493.890;375;628
171488;0;S;NOVA OLINDA;TO;N;S;N;N;1989;;;-76.320;-484.230;257;1566
411725;5;S;NOVA PRATA DO IGUACU;PR;N;N;N;S;1979;;;-256.330;-533.470;438;352
171500;2;S;NOVA ROSALANDIA;TO;N;S;N;N;1989;;;-105.670;-489.140;255;488
421150;4;S;NOVA TRENTO;SC;N;N;N;N;1892;;;-272.860;-489.300;30;402
510625;7;S;NOVA XAVANTINA;MT;N;S;N;N;1980;;;-146.730;-523.530;275;5526
431238;5;S;MONTE BELO DO SUL;RS;N;N;N;N;1993;;;-291.630;-516.320;645;68
292150;0;S;MONTE SANTO;BA;N;N;S;N;1837;;;-104.380;-393.330;489;3285
292160;9;S;MORPARA;BA;N;N;S;N;1962;;;-115.590;-432.810;405;1731
431247;6;S;MORRO REUTER;RS;N;N;N;N;1993;;;-295.380;-510.810;492;88
521405;1;S;MUNDO NOVO;GO;N;N;N;N;1980;;;-137.760;-502.810;263;2146
171420;3;S;NATIVIDADE;TO;N;S;N;N;1889;;;-117.100;-477.230;323;3215
410337;0;S;BRASILANDIA DO SUL;PR;N;N;N;S;1993;;;-241.970;-535.250;378;291
510190;2;S;BRASNORTE;MT;N;S;N;N;1989;;;-121.550;-579.790;317;15959
170370;1;S;BREJINHO DE NAZARE;TO;N;S;N;N;1989;;;-110.000;-485.660;247;1724
290430;8;S;BREJOES;BA;N;N;S;N;1924;;;-131.040;-397.960;611;481
290460;5;S;BRUMADO;BA;N;N;S;N;1877;;;-142.040;-416.650;422;2166
420290;9;S;BRUSQUE;SC;N;N;N;N;1881;;;-270.980;-489.180;36;283
310925;3;S;BUGRE;MG;N;N;N;N;1997;;;-194.070;-422.650;410;162
350810;8;S;BURITAMA;SP;N;N;N;N;1948;;;-210.660;-501.470;391;326
170380;0;S;BURITI DO TOCANTINS;TO;N;S;N;N;1989;;;-53.160;-482.290;198;249
520350;0;S;BOM JESUS DE GOIAS;GO;N;N;N;N;1963;;;-182.150;-497.420;619;1405
500200;1;S;BATAYPORA;MS;N;N;N;N;1963;;;-222.950;-532.710;334;1828
230220;6;S;BEBERIBE;CE;N;N;N;N;1951;;;-41.800;-381.310;12;1616
410275;2;S;BELA VISTA DA CAROBA;PR;N;N;N;S;1997;;;-258.810;-536.650;558;148
210173;1;S;BELAGUA;MA;N;N;N;N;1997;;;-31.550;-435.100;92;499
260160;7;S;BELEM DE SAO FRANCISCO;PE;N;N;S;N;1928;;;-87.580;-389.640;305;1830
310620;0;S;BELO HORIZONTE;MG;S;N;N;N;1893;;;-198.170;-439.560;858;330
310630;9;S;BELO ORIENTE;MG;N;N;N;N;1962;;;-192.200;-424.840;300;336
220160;6;S;BENEDITINOS;PI;N;N;N;N;1925;;;-54.550;-423.600;150;792
350630;0;S;BERNARDINO DE CAMPOS;SP;N;N;N;N;1923;;;-230.130;-494.740;695;244
350635;9;S;BERTIOGA;SP;N;N;N;N;1993;;;-238.540;-461.390;8;491
220180;4;S;BOCAINA;PI;N;N;S;N;1963;;;-69.430;-413.230;235;257
420243;8;S;BOCAINA DO SUL;SC;N;N;N;N;1997;;;-277.440;-499.440;860;496
240165;1;S;BODO;RN;N;N;S;N;1997;;;-59.880;-364.130;560;253
260210;0;S;BOM CONSELHO;PE;N;N;S;N;1860;;;-91.700;-366.800;654;786
220190;3;S;BOM JESUS;PI;N;N;S;N;1938;;;-90.740;-443.590;277;5469
310760;4;S;BOM JESUS DA PENHA;MG;N;N;N;N;1962;;;-210.170;-465.230;990;209
170255;4;S;AUGUSTINOPOLIS;TO;N;S;N;N;1989;;;-54.660;-478.880;145;414
430155;2;S;AUREA;RS;N;N;N;N;1989;;;-276.980;-520.490;600;158
170270;3;S;AURORA DO TOCANTINS;TO;N;S;N;N;1989;;;-127.130;-464.080;468;752
317047;9;S;URUANA DE MINAS;MG;N;N;N;N;1997;;;-160.640;-462.540;530;589
355300;5;S;TAGUAI;SP;N;N;N;N;1959;;;-234.520;-494.090;575;145
355320;3;S;TAIUVA;SP;N;N;N;N;1948;;;-211.240;-484.520;630;132
412670;2;S;TAMBOARA;PR;N;N;N;N;1954;;;-232.000;-524.690;340;193
241400;1;S;TANGARA;RN;N;N;S;N;1958;;;-61.990;-358.020;186;356
330575;2;S;TANGUA;RJ;N;N;N;N;1997;;;-227.300;-427.140;20;146
221097;9;S;TANQUE DO PIAUI;PI;N;N;S;N;1997;;;-66.000;-422.820;280;377
293110;3;S;TANQUINHO;BA;N;N;S;N;1958;;;-119.790;-391.040;248;209
293120;2;S;TAPEROA;BA;N;N;N;N;1847;;;-135.380;-390.990;15;408
510800;6;S;TAPURAH;MT;N;S;N;N;1989;;;-127.720;-565.540;393;11600
355380;7;S;TAQUARITUBA;SP;N;N;N;N;1925;;;-235.330;-492.440;618;447
500797;6;S;TAQUARUSSU;MS;N;N;N;S;1980;;;-224.880;-533.510;276;1041
211200;1;S;TASSO FRAGOSO;MA;N;S;N;N;1961;;;-84.750;-457.430;242;4382
251660;7;S;TAVARES;PB;N;N;S;N;1959;;;-76.360;-378.780;724;228
270430;2;S;MACEIO;AL;S;N;N;N;1815;;;-96.660;-357.350;16;510
291890;2;S;LAJEDAO;BA;N;N;N;N;1962;;;-176.140;-403.450;290;613
291995;9;S;MAETINGA;BA;N;N;S;N;1986;;;-146.630;-414.920;600;368
292010;6;S;MAIRI;BA;N;N;S;N;1857;;;-117.110;-401.490;468;905
313620;7;S;JOAO MONLEVADE;MG;N;N;N;N;1962;;;-198.100;-431.740;732;99
270380;9;S;JOAQUIM GOMES;AL;N;N;N;N;1962;;;-91.330;-357.480;104;238
220545;8;S;JOCA MARQUES;PI;N;N;N;N;1997;;;-34.780;-424.280;24;166
313652;0;S;JOSE GONCALVES DE MINAS;MG;N;N;S;N;1997;;;-169.070;-426.040;545;382
210560;9;S;JOSELANDIA;MA;N;S;N;N;1961;;;-49.670;-447.000;60;681
510510;1;S;JUARA;MT;N;S;N;N;1981;;;-112.550;-575.200;292;21387
171180;3;S;JUARINA;TO;N;S;N;N;1993;;;-81.190;-490.650;180;481
220551;6;S;JUAZEIRO DO PIAUI;PI;N;N;S;N;1997;;;-51.720;-417.030;175;827
220552;4;S;JULIO BORGES;PI;N;N;S;N;1997;;;-103.230;-442.380;389;1290
260830;5;S;JUPI;PE;N;N;S;N;1958;;;-87.120;-364.150;782;112
313680;1;S;JURAMENTO;MG;N;N;N;N;1953;;;-168.480;-435.870;682;432
510517;6;S;JURUENA;MT;N;S;N;N;1989;;;-103.180;-583.590;300;3190
431940;6;S;SAO PEDRO DO SUL;RS;N;N;N;N;1926;;;-296.210;-541.790;173;873
330530;7;S;SAO SEBASTIAO DO ALTO;RJ;N;N;N;N;1891;;;-219.570;-421.350;575;397
316470;4;S;SAO SEBASTIAO DO PARAISO;MG;N;N;N;N;1870;;;-209.170;-469.910;991;822
316510;7;S;SAO TOMAS DE AQUINO;MG;N;N;N;N;1923;;;-207.840;-470.980;979;277
431971;1;S;SAO VALENTIM DO SUL;RS;N;N;N;N;1993;;;-290.470;-517.650;550;92
355100;9;S;SAO VICENTE;SP;N;N;N;N;1700;;;-239.630;-463.920;6;148
431990;1;S;SAPIRANGA;RS;N;N;N;N;1954;;;-296.380;-510.070;57;137
292970;1;S;SATIRO DIAS;BA;N;N;S;N;1958;;;-116.000;-386.000;213;974
412627;2;S;SAUDADE DO IGUACU;PR;N;N;N;S;1993;;;-256.940;-526.190;650;152
421740;2;S;SCHROEDER;SC;N;N;N;N;1964;;;-264.130;-490.730;38;143
510263;7;S;CAMPO NOVO DO PARECIS;MT;N;S;N;N;1989;;;-136.750;-578.920;572;9448
520490;4;S;CAMPOS BELOS;GO;N;N;N;N;1989;;;-130.370;-467.720;643;724
150215;2;S;CANAA DOS CARAJAS;PA;N;S;N;N;1997;;;-64.970;-498.780;210;3146
290610;5;S;CANAPOLIS;BA;N;N;N;N;1962;;;-130.700;-442.020;680;464
220225;1;S;CANAVIEIRA;PI;N;N;S;N;1993;;;-76.880;-437.210;180;1803
311200;0;S;CANDEIAS;MG;N;N;N;N;1938;;;-207.670;-452.760;967;720
351010;4;S;CANDIDO RODRIGUES;SP;N;N;N;N;1959;;;-213.250;-486.310;610;69
420370;9;S;CANELINHA;SC;N;N;N;N;1962;;;-272.650;-487.680;17;151
260370;2;S;CANHOTINHO;PE;N;N;S;N;1890;;;-88.820;-361.910;520;423
351015;3;S;CANITAR;SP;N;N;N;N;1993;;;-230.060;-497.830;508;57
290680;8;S;CANSANCAO;BA;N;N;S;N;1958;;;-106.710;-394.980;395;1319
410445;1;S;CANTAGALO;PR;N;N;N;N;1982;;;-253.740;-521.260;840;583
130090;4;S;CANUTAMA;AM;N;S;N;S;1931;;;-65.340;-643.830;55;29819
420325;3;S;CAPAO ALTO;SC;N;N;N;N;1997;;;-279.370;-505.120;1022;1335
311210;9;S;CAPARAO;MG;N;N;N;N;1962;;;-205.210;-419.070;850;130
420390;7;S;CAPINZAL;SC;N;N;N;N;1948;;;-273.440;-516.120;480;333
220245;5;S;CAPITAO GERVASIO OLIVEIRA;PI;N;N;S;N;1997;;;-84.900;-418.200;400;1114
130083;9;S;CAAPIRANGA;AM;N;S;N;N;1985;;;-33.280;-612.090;32;9456
290485;2;S;CABACEIRAS DO PARAGUACU;BA;N;N;S;N;1990;;;-125.360;-391.910;210;213
290440;7;S;BREJOLANDIA;BA;N;N;S;N;1962;;;-124.830;-439.660;542;2619
520380;7;S;BRITANIA;GO;N;N;N;N;1963;;;-152.410;-511.610;263;1461
350800;9;S;BURI;SP;N;N;N;N;1921;;;-237.980;-485.930;590;1194
210232;5;S;BURITICUPU;MA;N;S;N;N;1997;;;-43.460;-464.010;0;2544
350820;7;S;BURITIZAL;SP;N;N;N;N;1953;;;-201.910;-477.080;855;266
500190;4;S;BATAGUASSU;MS;N;N;N;N;1953;;;-217.140;-524.220;329;2416
220150;7;S;BATALHA;PI;N;N;N;N;1938;;;-40.240;-420.780;150;1588
350600;3;S;BAURU;SP;N;N;N;N;1896;;;-223.150;-490.610;526;673
230230;5;S;BELA CRUZ;CE;N;N;N;N;1957;;;-30.510;-401.680;15;841
330430;0;S;RIO BONITO;RJ;N;N;N;N;1846;;;-227.080;-426.260;40;462
120040;1;S;RIO BRANCO;AC;S;S;N;S;1904;;;-99.750;-678.100;153;9222
500720;8;S;RIO BRILHANTE;MS;N;N;N;S;1929;;;-218.020;-545.460;312;3987
150580;9;S;PORTEL;PA;N;S;N;N;1935;;;-19.360;-508.210;19;25384
280560;4;S;PORTO DA FOLHA;SE;N;N;S;N;1835;;;-99.170;-372.780;38;896
510682;8;S;PORTO ESPERIDIAO;MT;N;S;N;S;1986;;;-158.530;-584.600;160;5815
160053;5;S;PORTO GRANDE;AP;N;S;N;N;1993;;;0.7130;-514.130;60;4401
171820;4;S;PORTO NACIONAL;TO;N;S;N;N;1989;;;-107.080;-484.170;212;4449
421360;9;S;PORTO UNIAO;SC;N;N;N;N;1917;;;-262.380;-510.780;795;851
120039;3;S;PORTO WALTER;AC;N;S;N;S;1993;;;-82.690;-727.440;195;6135
315260;0;S;POUSO ALTO;MG;N;N;N;N;1874;;;-221.940;-449.730;884;261
510700;8;S;POXOREO;MT;N;S;N;N;1938;;;-158.370;-543.890;360;6923
160055;0;S;PRACUUBA;AP;N;S;N;S;1993;;;17.430;-507.910;0;4956
315270;9;S;PRADOS;MG;N;N;N;N;1890;;;-210.580;-440.800;979;261
315280;8;S;PRATA;MG;N;N;N;N;1854;;;-193.070;-489.240;630;4856
315300;4;S;PRATINHA;MG;N;N;N;N;1948;;;-197.510;-463.780;1162;619
130353;6;S;PRESIDENTE FIGUEIREDO;AM;N;S;N;N;1985;;;-20.340;-600.250;122;25422
292570;9;S;PRESIDENTE JANIO QUADROS;BA;N;N;S;N;1961;;;-146.890;-416.780;682;1327
210920;5;S;PRESIDENTE JUSCELINO;MA;N;S;N;N;1964;;;-29.280;-440.650;15;442
315330;1;S;PRESIDENTE KUBITSCHEK;MG;N;N;N;N;1962;;;-186.140;-435.620;1109;189
270810;5;S;SANTANA DO MUNDAU;AL;N;N;N;N;1960;;;-91.680;-362.220;221;223
251360;4;S;SANTANA DOS GARROTES;PB;N;N;S;N;1961;;;-73.840;-379.860;322;353
150680;7;S;SANTAREM;PA;N;S;N;N;1755;;;-24.430;-547.080;51;22887
421570;3;S;SANTO AMARO DA IMPERATRIZ;SC;N;N;N;N;1958;;;-276.880;-487.790;18;310
354790;8;S;SANTO ANTONIO DA ALEGRIA;SP;N;N;N;N;1885;;;-210.870;-471.510;791;309
412410;3;S;SANTO ANTONIO DA PLATINA;PR;N;N;N;N;1914;;;-232.950;-500.770;505;721
315990;2;S;SANTO ANTONIO DO AMPARO;MG;N;N;N;N;1938;;;-209.460;-449.190;1013;491
431647;7;S;SALVADOR DAS MISSOES;RS;N;N;N;S;1993;;;-281.260;-548.350;216;94
210970;0;S;SAMBAIBA;MA;N;S;N;N;1953;;;-71.400;-453.460;212;2478
431660;0;S;SANANDUVA;RS;N;N;N;N;1954;;;-279.500;-518.070;636;504
354550;6;S;SANDOVALINA;SP;N;N;N;N;1959;;;-224.560;-517.630;424;455
412310;5;S;SANTA AMELIA;PR;N;N;N;N;1951;;;-232.660;-504.240;500;77
315725;2;S;SANTA BARBARA DO LESTE;MG;N;N;N;N;1993;;;-199.780;-421.400;850;110
430673;4;S;DOUTOR MAURICIO CARDOSO;RS;N;N;N;S;1989;;;-275.060;-543.610;282;256
170730;6;S;DUERE;TO;N;S;N;N;1989;;;-113.440;-492.710;235;3424
520735;2;S;EDEALINA;GO;N;N;N;N;1989;;;-174.260;-496.650;578;603
351480;9;S;ELDORADO;SP;N;N;N;N;1842;;;-245.200;-481.080;62;1656
291030;5;S;ELISIO MEDRADO;BA;N;N;S;N;1962;;;-129.460;-395.220;390;199
351512;9;S;EMILIANOPOLIS;SP;N;N;N;N;1993;;;-218.330;-514.830;354;223
430690;8;S;ENCRUZILHADA DO SUL;RS;N;N;N;S;1849;;;-305.440;-525.220;432;3438
410750;4;S;ENGENHEIRO BELTRAO;PR;N;N;N;N;1954;;;-237.970;-522.690;470;467
351515;2;S;ENGENHEIRO COELHO;SP;N;N;N;N;1993;;;-224.880;-472.150;655;109
312385;8;S;ENTRE FOLHAS;MG;N;N;N;N;1993;;;-196.250;-422.310;495;85
291050;3;S;ENTRE RIOS;BA;N;N;N;N;1872;;;-119.420;-380.840;162;1235
312390;8;S;ENTRE RIOS DE MINAS;MG;N;N;N;N;1875;;;-206.710;-440.660;957;462
430695;7;S;ENTRE RIOS DO SUL;RS;N;N;N;S;1989;;;-275.280;-527.330;605;120
120025;2;S;EPITACIOLANDIA;AC;N;S;N;S;1993;;;-110.290;-687.410;0;1659
230427;7;S;ERERE;CE;N;N;S;N;1989;;;-60.320;-383.490;200;382
313070;5;S;INDIANOPOLIS;MG;N;N;N;N;1933;;;-190.390;-479.170;809;833
313080;4;S;INGAI;MG;N;N;N;N;1962;;;-214.010;-449.170;951;305
313110;9;S;INIMUTABA;MG;N;N;N;N;1962;;;-187.290;-443.610;600;529
521010;9;S;IPAMERI;GO;N;N;N;N;1870;;;-177.220;-481.600;764;4368
291380;4;S;IPECAETA;BA;N;N;S;N;1962;;;-123.000;-393.080;189;393
420760;1;S;IPIRA;SC;N;N;N;N;1963;;;-274.040;-517.730;409;150
260720;8;S;IPOJUCA;PE;N;N;N;N;1861;;;-83.990;-350.640;10;527
411060;7;S;IPORA;PR;N;N;N;S;1960;;;-240.030;-537.040;341;647
260730;7;S;IPUBI;PE;N;N;S;N;1958;;;-76.520;-401.490;535;665
352140;8;S;IRACEMAPOLIS;SP;N;N;N;N;1953;;;-225.810;-475.190;608;115
291420;8;S;IRAJUBA;BA;N;N;S;N;1962;;;-132.510;-400.840;542;383
291450;5;S;IRARA;BA;N;N;N;N;1842;;;-120.500;-387.670;283;239
220490;7;S;ISAIAS COELHO;PI;N;N;S;N;1963;;;-77.380;-416.760;260;664
280290;8;S;ITABAIANA;SE;N;N;N;N;1698;;;-106.850;-374.250;188;336
150320;0;S;IGARAPE-ACU;PA;N;S;N;N;1906;;;-11.270;-476.180;50;785
280310;4;S;ITABI;SE;N;N;S;N;1953;;;-101.260;-371.030;172;195
313180;2;S;ITABIRINHA;MG;N;N;N;N;1962;;;-185.660;-412.330;330;208
291480;2;S;ITABUNA;BA;N;N;N;N;1906;;;-147.860;-392.800;54;443
312820;4;S;GUARACIABA;MG;N;N;N;N;1948;;;-205.710;-430.080;578;348
230500;1;S;GUARACIABA DO NORTE;CE;N;N;S;N;1879;;;-41.670;-407.480;902;611
170930;2;S;GUARAI;TO;N;S;N;N;1989;;;-88.340;-485.100;259;2268
420650;4;S;GUARAMIRIM;SC;N;N;N;N;1948;;;-264.730;-490.030;30;268
312840;2;S;GUARANI;MG;N;N;N;N;1911;;;-213.520;-430.470;420;264
351800;8;S;GUARANI D'OESTE;SP;N;N;N;N;1959;;;-200.750;-503.390;499;84
432060;2;S;SEVERIANO DE ALMEIDA;RS;N;N;N;N;1963;;;-274.330;-521.160;476;167
355190;0;S;SEVERINIA;SP;N;N;N;N;1953;;;-208.090;-488.030;605;140
172065;5;S;SILVANOPOLIS;TO;N;S;N;N;1980;;;-111.470;-481.690;269;1258
130400;5;S;SILVES;AM;N;S;N;N;1985;;;-28.390;-582.090;46;3748
316750;9;S;SIMAO PEREIRA;MG;N;N;N;N;1962;;;-219.640;-433.120;472;134
351640;8;S;FRANCO DA ROCHA;SP;N;N;N;N;1944;;;-233.220;-467.270;740;133
420555;5;S;FREI ROGERIO;SC;N;N;N;N;1997;;;-271.750;-508.050;950;157
312300;7;S;DORES DE CAMPOS;MG;N;N;N;N;1938;;;-211.090;-440.230;931;127
240860;7;S;PARANA;RN;N;N;S;N;1963;;;-64.860;-383.130;373;81
500630;9;S;PARANAIBA;MS;N;N;N;N;1857;;;-196.770;-511.910;374;5402
411830;3;S;PARANAPOEMA;PR;N;N;N;N;1964;;;-226.340;-520.980;390;175
353600;0;S;PARAPUA;SP;N;N;N;N;1944;;;-217.830;-507.930;486;365
110145;0;S;PARECIS;RO;N;S;N;S;1997;;;-121.750;-616.030;355;2548
353625;7;S;PARISI;SP;N;N;N;N;1993;;;-203.040;-500.150;496;84
240325;1;S;PARNAMIRIM;RN;N;N;N;N;1958;;;-59.160;-352.630;53;120
240910;0;S;PASSA E FICA;RN;N;N;S;N;1962;;;-64.360;-356.430;189;42
314780;8;S;PASSA-VINTE;MG;N;N;N;N;1953;;;-222.090;-442.340;752;245
270650;5;S;PASSO DE CAMARAGIBE;AL;N;N;N;N;1852;;;-92.380;-354.930;4;187
314810;3;S;PATROCINIO;MG;N;N;N;N;1840;;;-189.440;-469.930;965;2866
330385;6;S;PATY DO ALFERES;RJ;N;N;N;N;1989;;;-224.290;-434.190;610;319
240940;7;S;PAU DOS FERROS;RN;N;N;S;N;1856;;;-61.110;-382.090;193;259
314530;7;S;NOVO CRUZEIRO;MG;N;N;S;N;1943;;;-174.680;-418.750;980;1700
500625;9;S;NOVO HORIZONTE DO SUL;MS;N;N;N;S;1993;;;-226.690;-538.600;320;849
510626;5;S;NOVO MUNDO;MT;N;S;N;N;1997;;;-99.500;-551.980;330;5801
150506;4;S;NOVO REPARTIMENTO;PA;N;S;N;N;1993;;;-43.310;-497.960;0;15398
292305;0;S;NOVO TRIUNFO;BA;N;N;S;N;1990;;;-103.170;-384.060;460;217
314585;1;S;ORATORIOS;MG;N;N;N;N;1997;;;-204.310;-428.060;494;89
314587;7;S;ORIZANIA;MG;N;N;N;N;1997;;;-205.060;-422.100;819;121
421170;2;S;ORLEANS;SC;N;N;N;N;1913;;;-283.590;-492.910;132;549
230950;8;S;OROS;CE;N;N;S;N;1956;;;-62.440;-389.140;184;576
431350;8;S;OSORIO;RS;N;N;N;N;1857;;;-298.870;-502.700;16;663
260990;7;S;OURICURI;PE;N;N;S;N;1849;;;-78.830;-400.820;451;2422
411740;4;S;OURIZONA;PR;N;N;N;N;1960;;;-234.050;-521.990;525;176
240850;8;S;OURO BRANCO;RN;N;N;S;N;1953;;;-67.010;-369.460;223;253
412120;8;S;QUITANDINHA;PR;N;N;N;N;1961;;;-258.720;-494.980;845;447
231140;5;S;QUIXERAMOBIM;CE;N;N;S;N;1856;;;-51.990;-392.930;191;3275
292595;6;S;RAFAEL JAMBEIRO;BA;N;N;S;N;1986;;;-124.080;-395.010;238;1234
421430;0;S;RANCHO QUEIMADO;SC;N;N;N;N;1962;;;-276.730;-490.220;810;286
412140;6;S;REALEZA;PR;N;N;N;S;1961;;;-257.670;-535.270;520;353
315410;1;S;RECREIO;MG;N;N;N;N;1938;;;-215.250;-424.690;193;234
231160;3;S;REDENCAO;CE;N;N;S;N;1889;;;-42.260;-387.310;88;225
150613;8;S;REDENCAO;PA;N;S;N;N;1982;;;-80.290;-500.310;227;3823
220870;0;S;REDENCAO DO GURGUEIA;PI;N;N;S;N;1962;;;-94.870;-445.860;292;2468
315415;0;S;REDUTO;MG;N;N;N;N;1997;;;-202.400;-419.830;610;151
354240;4;S;REGENTE FEIJO;SP;N;N;N;N;1935;;;-222.210;-513.030;504;265
354260;2;S;REGISTRO;SP;N;N;N;N;1944;;;-244.880;-478.440;25;716
315430;9;S;RESPLENDOR;MG;N;N;N;N;1938;;;-193.260;-412.550;100;1072
354270;1;S;RESTINGA;SP;N;N;N;N;1964;;;-206.030;-474.830;910;245
292610;3;S;RETIROLANDIA;BA;N;N;S;N;1962;;;-114.950;-394.260;325;203
210950;2;S;RIACHAO;MA;N;S;N;N;1835;;;-73.620;-466.170;383;6373
292630;1;S;RIACHAO DO JACUIPE;BA;N;N;S;N;1878;;;-118.100;-393.820;219;1199
241070;2;S;RIACHO DA CRUZ;RN;N;N;S;N;1962;;;-59.360;-379.460;163;127
220885;8;S;RIACHO FRIO;PI;N;N;N;N;1997;;;-101.250;-449.530;400;2221
521860;7;S;RIALMA;GO;N;N;N;N;1953;;;-153.150;-495.840;582;268
354280;0;S;RIBEIRA;SP;N;N;N;N;1910;;;-246.570;-490.090;167;335
354290;9;S;RIBEIRAO BONITO;SP;N;N;N;N;1890;;;-220.670;-481.760;590;471
315460;6;S;RIBEIRAO DAS NEVES;MG;N;N;N;N;1953;;;-197.670;-440.870;800;154
354330;3;S;RIBEIRAO PIRES;SP;N;N;N;N;1953;;;-237.110;-464.130;763;99
315470;5;S;RIBEIRAO VERMELHO;MG;N;N;N;N;1948;;;-211.910;-450.620;808;40
412220;6;S;RIO BRANCO DO SUL;PR;N;N;N;N;1947;;;-251.900;-493.140;1053;814
521810;2;S;PORTELANDIA;GO;N;N;N;N;1963;;;-173.540;-526.790;858;550
431490;2;S;PORTO ALEGRE;RS;S;N;N;N;1809;;;-300.330;-512.300;3;496
412015;0;S;PORTO BARREIRO;PR;N;N;N;S;1997;;;-255.470;-524.080;830;361
314180;1;S;MINAS NOVAS;MG;N;N;N;N;1730;;;-172.190;-425.900;635;1810
330300;5;S;MIRACEMA;RJ;N;N;N;N;1935;;;-214.120;-421.970;137;303
314220;5;S;MIRAI;MG;N;N;N;N;1923;;;-211.950;-426.140;306;320
353010;2;S;MIRANDOPOLIS;SP;N;N;N;N;1944;;;-211.340;-511.020;429;918
171330;4;S;MIRANORTE;TO;N;S;N;N;1989;;;-95.290;-485.900;222;1031
353020;1;S;MIRANTE DO PARANAPANEMA;SP;N;N;N;N;1953;;;-222.920;-519.060;448;1237
314225;4;S;MIRAVANIA;MG;N;N;S;N;1997;;;-147.410;-444.040;632;603
280410;2;S;MOITA BONITA;SE;N;N;N;N;1963;;;-105.780;-373.430;212;95
353070;6;S;MOGI GUACU;SP;N;N;N;N;1877;;;-223.720;-469.420;591;813
230850;0;S;MOMBACA;CE;N;N;S;N;1933;;;-57.430;-396.280;244;2119
210690;4;S;MONCAO;MA;N;S;N;N;1935;;;-34.920;-452.510;14;1345
353100;1;S;MONCOES;SP;N;N;N;N;1964;;;-208.500;-500.920;406;104
353110;0;S;MONGAGUA;SP;N;N;N;N;1959;;;-240.870;-466.290;18;143
314250;2;S;MONJOLOS;MG;N;N;N;N;1962;;;-183.250;-441.190;560;652
230860;9;S;MONSENHOR TABOSA;CE;N;N;S;N;1951;;;-47.890;-400.630;687;886
240770;8;S;MONTANHAS;RN;N;N;N;N;1962;;;-64.860;-352.880;87;82
521350;9;S;MONTE ALEGRE DE GOIAS;GO;N;N;N;N;1947;;;-132.560;-469.010;557;3119
317150;1;S;MATHIAS LOBATO;MG;N;N;N;N;1962;;;-185.920;-419.080;210;170
313920;1;S;MALACACHETA;MG;N;N;N;N;1923;;;-178.420;-420.770;432;719
250890;1;S;MAMANGUAPE;PB;N;N;N;N;1839;;;-68.390;-351.260;35;348
130250;4;S;MANACAPURU;AM;N;S;N;N;1894;;;-33.000;-606.210;60;7329
330260;1;S;MANGARATIBA;RJ;N;N;N;N;1831;;;-229.600;-440.410;18;351
313980;5;S;MAR DE ESPANHA;MG;N;N;N;N;1851;;;-218.670;-430.100;478;372
150420;8;S;MARABA;PA;N;S;N;N;1913;;;-53.690;-491.180;84;15092
292050;2;S;MARACAS;BA;N;N;S;N;1855;;;-134.410;-404.310;964;2435
210635;9;S;MARAJA DO SENA;MA;N;S;N;N;1997;;;-45.990;-455.770;0;824
352885;8;S;MARAPOAMA;SP;N;N;N;N;1993;;;-212.590;-491.290;467;113
292070;0;S;MARAU;BA;N;N;N;N;1761;;;-141.030;-390.150;36;774
421050;6;S;MARAVILHA;SC;N;N;N;S;1958;;;-267.610;-531.730;625;169
110003;1;S;CABIXI;RO;N;S;N;S;1989;;;-134.920;-605.450;230;1314
420300;6;S;CACADOR;SC;N;N;N;N;1934;;;-267.750;-510.150;920;981
520410;2;S;CACHOEIRA ALTA;GO;N;N;N;N;1953;;;-187.630;-509.420;483;1654
310270;4;S;CACHOEIRA DE PAJEU;MG;N;N;S;N;1989;;;-159.660;-414.980;721;673
350870;2;S;CACONDE;SP;N;N;N;N;1864;;;-215.290;-466.440;780;470
310990;7;S;CAETANOPOLIS;MG;N;N;N;N;1953;;;-192.950;-444.190;742;156
260320;7;S;CAETES;PE;N;N;S;N;1963;;;-87.730;-366.230;849;330
350880;1;S;CAFELANDIA;SP;N;N;N;N;1925;;;-218.030;-496.100;445;919
430330;1;S;CAIBATE;RS;N;N;N;S;1965;;;-282.880;-546.380;286;258
250360;5;S;CAICARA;PB;N;N;S;N;1908;;;-65.540;-354.110;150;127
290550;3;S;CALDEIRAO GRANDE;BA;N;N;S;N;1962;;;-110.200;-403.030;492;495
260340;5;S;CALUMBI;PE;N;N;S;N;1963;;;-79.410;-381.500;446;221
311040;0;S;CAMACHO;MG;N;N;N;N;1962;;;-206.250;-451.570;957;222
500260;5;S;CAMAPUA;MS;N;N;N;N;1948;;;-195.310;-540.440;409;10758
260350;4;S;CAMOCIM DE SAO FELIX;PE;N;N;S;N;1953;;;-83.590;-357.620;691;53
410390;9;S;CAMPINA DA LAGOA;PR;N;N;N;S;1960;;;-245.920;-527.990;610;808
250400;9;S;CAMPINA GRANDE;PB;N;N;S;N;1788;;;-72.310;-358.810;551;620
150157;6;S;BOM JESUS DO TOCANTINS;PA;N;S;N;N;1989;;;-50.510;-486.090;175;2816
