CO_MUNICIP;CO_MUNICDV;CO_STATUS;DS_NOME;SG_UF;IN_CAPITAL;IN_AMAZLEG;IN_SEMIAR;IN_FRONTZN;DT_INSTAL;DT_EXTIN;CO_SUCESS;NU_LATITUD;NU_LONGIT;NU_ALTITUD;NU_AREA
351820;6;S;GUARARAPES;SP;N;N;N;N;1937;;;-212.610;-506.430;415;956
410960;9;S;GUARATUBA;PR;N;N;N;N;1771;;;-258.830;-485.750;15;1325
420660;3;S;GUARUJA DO SUL;SC;N;N;N;S;1961;;;-263.850;-535.280;707;100
351885;9;S;GUATAPARA;SP;N;N;N;N;1993;;;-214.970;-480.380;512;412
210490;9;S;GUIMARAES;MA;N;S;N;N;1758;;;-21.330;-446.010;41;598
312910;3;S;GURINHATA;MG;N;N;N;N;1962;;;-192.130;-497.860;543;1844
150310;1;S;GURUPA;PA;N;S;N;N;1639;;;-14.050;-516.400;20;8540
430955;5;S;HARMONIA;RS;N;N;N;N;1989;;;-295.480;-514.260;126;44
351900;6;S;HERCULANDIA;SP;N;N;N;N;1944;;;-220.040;-503.850;502;365
230520;9;S;HIDROLANDIA;CE;N;N;S;N;1957;;;-44.080;-404.380;190;966
230523;3;S;HORIZONTE;CE;N;N;S;N;1989;;;-40.990;-384.960;65;159
210220;0;S;BURITI;MA;N;N;N;N;1888;;;-39.420;-429.250;227;1474
220200;0;S;BURITI DOS LOPES;PI;N;N;N;N;1938;;;-31.750;-418.670;50;691
310930;3;S;BURITIS;MG;N;N;N;N;1962;;;-156.180;-464.230;538;5219
310940;2;S;BURITIZEIRO;MG;N;N;N;N;1962;;;-173.510;-449.620;538;7225
350570;8;S;BARUERI;SP;N;N;N;N;1948;;;-235.110;-468.760;719;64
270070;6;S;BATALHA;AL;N;N;S;N;1947;;;-96.780;-371.250;120;321
230210;7;S;BATURITE;CE;N;N;S;N;1858;;;-43.290;-388.850;171;308
350610;2;S;BEBEDOURO;SP;N;N;N;N;1894;;;-209.490;-484.790;573;682
210193;9;S;BERNARDO DO MEARIM;MA;N;S;N;N;1997;;;-45.840;-447.640;0;261
310660;6;S;BERTOPOLIS;MG;N;N;N;N;1962;;;-170.630;-405.740;278;425
310670;5;S;BETIM;MG;N;N;N;N;1938;;;-199.680;-441.980;860;345
310690;3;S;BICAS;MG;N;N;N;N;1923;;;-217.250;-430.590;601;139
350660;7;S;BIRITIBA-MIRIM;SP;N;N;N;N;1964;;;-235.730;-460.390;780;316
410302;4;S;BOA ESPERANCA DO IGUACU;PR;N;N;N;S;1993;;;-256.360;-532.120;521;151
410304;0;S;BOA VENTURA DE SAO ROQUE;PR;N;N;N;N;1997;;;-248.690;-516.280;950;622
210197;0;S;BOA VISTA DO GURUPI;MA;N;S;N;N;1997;;;-17.880;-463.030;0;401
350690;4;S;BOFETE;SP;N;N;N;N;1880;;;-231.020;-482.580;576;653
210200;2;S;BOM JARDIM;MA;N;S;N;N;1966;;;-35.650;-459.940;40;6590
310750;5;S;BOM JARDIM DE MINAS;MG;N;N;N;N;1938;;;-219.470;-441.910;1112;395
432377;0;S;WESTFALIA;RS;N;N;N;N;2001;;;-294.170;-517.650;0;63
510325;4;S;COLNIZA;MT;N;S;N;N;2001;;;-94.560;-592.290;0;27947
510617;4;S;NOVA NAZARE;MT;N;S;N;N;2001;;;-139.900;-517.980;0;4038
510631;5;S;NOVO SANTO ANTONIO;MT;N;S;N;N;2001;;;-122.900;-509.680;0;4368
510774;3;S;SANTA CRUZ DO XINGU;MT;N;S;N;N;2001;;;-101.550;-523.920;0;5625
510779;2;S;SANTO ANTONIO DO LESTE;MT;N;S;N;N;2001;;;-147.960;-536.400;0;3596
510788;3;S;SERRA NOVA DOURADA;MT;N;S;N;N;2001;;;-120.920;-514.020;0;1479
520485;4;S;CAMPO LIMPO DE GOIAS;GO;N;N;N;N;2001;;;-162.970;-490.880;0;156
521225;3;S;LAGOA SANTA;GO;N;N;N;N;2001;;;-191.830;-513.910;0;458
280760;0;S;UMBAUBA;SE;N;N;N;N;1953;;;-113.830;-376.580;130;121
293135;0;S;TEIXEIRA DE FREITAS;BA;N;N;N;N;1986;;;-175.350;-397.420;186;1153
500750;5;S;ROCHEDO;MS;N;N;N;N;1948;;;-199.530;-548.930;260;1560
431213;8;S;MATO CASTELHANO;RS;N;N;N;N;1993;;;-282.780;-521.920;740;238
520549;7;S;CIDADE OCIDENTAL;GO;N;N;N;N;1993;;;-160.770;-479.250;1057;388
220273;7;S;COIVARAS;PI;N;N;N;N;1993;;;-50.940;-422.070;190;506
432166;7;S;TRES CACHOEIRAS;RS;N;N;N;N;1989;;;-294.560;-499.240;15;250
251280;4;S;RIACHO DOS CAVALOS;PB;N;N;S;N;1961;;;-64.430;-376.510;198;264
411620;8;S;MORRETES;PR;N;N;N;N;1841;;;-254.770;-488.340;10;684
221110;0;S;UNIAO;PI;N;N;N;N;1853;;;-45.860;-428.640;52;1173
316430;8;S;SAO ROQUE DE MINAS;MG;N;N;N;N;1938;;;-202.450;-463.660;818;2100
316240;1;S;SAO JOAO DA PONTE;MG;N;N;S;N;1943;;;-159.290;-440.080;752;1849
353720;6;S;PEDRO DE TOLEDO;SP;N;N;N;N;1948;;;-242.750;-472.330;45;671
280445;8;S;NOSSA SENHORA APARECIDA;SE;N;N;S;N;1963;;;-104.430;-374.890;248;340
421020;9;S;MAJOR GERCINO;SC;N;N;N;N;1961;;;-274.180;-489.510;80;285
320300;7;S;IUNA;ES;N;N;N;N;1890;;;-203.460;-415.360;661;460
431070;2;S;ITATIBA DO SUL;RS;N;N;N;S;1964;;;-273.870;-524.530;771;212
320245;4;S;IBATIBA;ES;N;N;N;N;1981;;;-202.340;-415.110;740;241
230365;9;S;CATUNDA;CE;N;N;S;N;1993;;;-46.480;-402.010;280;790
290160;1;S;ANTAS;BA;N;N;S;N;1953;;;-104.000;-383.330;510;383
312440;1;S;ESPIRITO SANTO DO DOURADO;MG;N;N;N;N;1962;;;-220.460;-459.510;907;263
210350;5;S;COLINAS;MA;N;S;N;N;1870;;;-60.260;-442.490;141;2033
270120;9;S;CACIMBINHAS;AL;N;N;S;N;1958;;;-94.000;-369.900;270;272
350115;2;S;ALUMINIO;SP;N;N;N;N;1993;;;-235.350;-472.620;790;83
293250;7;S;UNA;BA;N;N;N;N;1924;;;-152.930;-390.750;28;1159
431920;8;S;SAO NICOLAU;RS;N;N;N;S;1965;;;-281.830;-552.670;148;485
354460;8;S;SABINO;SP;N;N;N;N;1953;;;-214.600;-495.780;412;311
354120;8;S;PRESIDENTE BERNARDES;SP;N;N;N;N;1935;;;-220.060;-515.530;429;753
292400;9;S;PAULO AFONSO;BA;N;N;S;N;1958;;;-94.080;-382.220;243;1573
230920;1;S;NOVA OLINDA;CE;N;N;S;N;1957;;;-70.920;-396.810;446;284
311787;6;S;CONFINS;MG;N;N;N;N;1997;;;-196.330;-439.830;750;42
311820;5;S;CONQUISTA;MG;N;N;N;N;1911;;;-199.370;-475.420;673;616
311850;2;S;CONSOLACAO;MG;N;N;N;N;1962;;;-225.510;-459.210;1035;85
270220;7;S;COQUEIRO SECO;AL;N;N;N;N;1962;;;-96.380;-358.030;31;40
410630;8;S;CORBELIA;PR;N;N;N;S;1961;;;-247.990;-533.070;895;529
230400;4;S;COREAU;CE;N;N;S;N;1935;;;-35.330;-406.570;72;775
311910;4;S;CORINTO;MG;N;N;N;N;1923;;;-183.810;-444.560;636;2524
240290;7;S;CORONEL JOAO PESSOA;RN;N;N;S;N;1963;;;-62.600;-384.440;401;117
351260;5;S;CORONEL MACEDO;SP;N;N;N;N;1964;;;-236.310;-493.140;624;304
311950;0;S;CORONEL MURTA;MG;N;N;S;N;1953;;;-166.190;-421.820;322;813
410650;6;S;CORONEL VIVIDA;PR;N;N;N;S;1954;;;-259.800;-525.680;700;684
260480;9;S;CORTES;PE;N;N;N;N;1953;;;-84.700;-355.410;302;101
351270;4;S;CORUMBATAI;SP;N;N;N;N;1948;;;-222.200;-476.260;608;278
110008;0;S;COSTA MARQUES;RO;N;S;N;S;1981;;;-124.450;-642.270;140;12722
312010;2;S;COUTO DE MAGALHAES DE MINAS;MG;N;N;N;N;1962;;;-180.710;-434.710;726;484
430600;7;S;CRISSIUMAL;RS;N;N;N;S;1954;;;-275.000;-541.010;410;362
312030;0;S;CRISTALIA;MG;N;N;S;N;1962;;;-168.000;-428.620;728;840
312050;8;S;CRISTINA;MG;N;N;N;N;1850;;;-222.120;-452.640;1025;311
520640;4;S;CRIXAS;GO;N;N;N;N;1953;;;-145.490;-499.690;389;4661
230423;6;S;CROATA;CE;N;N;S;N;1989;;;-44.000;-409.110;571;700
230425;1;S;CRUZ;CE;N;N;N;N;1986;;;-29.180;-401.720;16;334
250490;0;S;CRUZ DO ESPIRITO SANTO;PB;N;N;N;N;1896;;;-71.400;-350.860;19;195
311570;6;S;CENTRAL DE MINAS;MG;N;N;N;N;1962;;;-187.620;-413.060;242;203
410520;1;S;CERRO AZUL;PR;N;N;N;N;1882;;;-248.240;-492.610;318;1341
430517;3;S;CERRO GRANDE DO SUL;RS;N;N;N;N;1989;;;-305.900;-517.390;405;324
260450;2;S;CHA GRANDE;PE;N;N;S;N;1963;;;-82.380;-354.620;470;70
170510;2;S;CHAPADA DA NATIVIDADE;TO;N;S;N;N;1997;;;-116.170;-477.510;365;1671
430540;5;S;CHIAPETTA;RS;N;N;N;S;1965;;;-279.230;-539.410;483;396
110092;4;S;CHUPINGUAIA;RO;N;S;N;S;1997;;;-125.520;-609.000;360;5126
352070;7;S;INDIAPORA;SP;N;N;N;N;1953;;;-199.800;-502.900;440;279
431041;3;S;INHACORA;RS;N;N;N;S;1993;;;-278.830;-540.170;358;114
352080;6;S;INUBIA PAULISTA;SP;N;N;N;N;1958;;;-217.700;-509.620;467;86
352090;5;S;IPAUSSU;SP;N;N;N;N;1915;;;-230.570;-496.260;568;209
270730;5;S;PORTO CALVO;AL;N;N;N;N;1636;;;-90.450;-353.980;54;260
270740;4;S;PORTO DE PEDRAS;AL;N;N;N;N;1815;;;-91.580;-352.950;22;266
354060;6;S;PORTO FELIZ;SP;N;N;N;N;1797;;;-232.150;-475.240;523;556
210900;7;S;PORTO FRANCO;MA;N;S;N;N;1919;;;-63.380;-473.990;162;1417
500690;3;S;PORTO MURTINHO;MS;N;N;N;S;1911;;;-216.990;-578.830;90;17734
292530;3;S;PORTO SEGURO;BA;N;N;N;N;1534;;;-164.500;-390.650;49;2408
412030;9;S;PORTO VITORIA;PR;N;N;N;N;1963;;;-261.610;-512.320;750;212
521830;0;S;POSSE;GO;N;N;N;N;1872;;;-140.930;-463.690;811;1949
354080;4;S;POTIRENDABA;SP;N;N;N;N;1925;;;-210.430;-493.770;469;342
354100;0;S;PRAIA GRANDE;SP;N;N;N;N;1964;;;-240.060;-464.030;3;149
354105;9;S;PRATANIA;SP;N;N;N;N;1997;;;-228.080;-486.660;685;179
354110;9;S;PRESIDENTE ALVES;SP;N;N;N;N;1927;;;-221.000;-494.380;576;288
292560;0;S;PRESIDENTE DUTRA;BA;N;N;S;N;1962;;;-112.960;-419.870;672;243
421400;3;S;PRESIDENTE GETULIO;SC;N;N;N;N;1953;;;-270.510;-496.230;255;295
110025;4;S;PRESIDENTE MEDICI;RO;N;S;N;N;1981;;;-111.760;-619.010;185;1758
210930;4;S;PRESIDENTE VARGAS;MA;N;S;N;N;1964;;;-34.070;-440.240;58;467
110147;6;S;PRIMAVERA DE RONDONIA;RO;N;S;N;S;1997;;;-118.280;-613.210;210;605
251230;9;S;PRINCESA ISABEL;PB;N;N;S;N;1880;;;-77.370;-379.930;683;368
280570;3;S;PROPRIA;SE;N;N;S;N;1801;;;-102.110;-368.400;14;95
412070;5;S;QUATIGUA;PR;N;N;N;N;1947;;;-235.670;-499.140;785;112
411915;2;S;PINHAIS;PR;N;N;N;N;1993;;;-254.450;-491.930;893;61
280520;8;S;PINHAO;SE;N;N;S;N;1953;;;-105.670;-377.230;258;155
431450;6;S;PINHEIRO MACHADO;RS;N;N;N;S;1878;;;-315.780;-533.810;439;2227
353900;4;S;PIRANGI;SP;N;N;N;N;1935;;;-210.910;-486.580;538;215
270710;7;S;PIRANHAS;AL;N;N;S;N;1887;;;-96.240;-377.570;88;407
230880;7;S;MORAUJO;CE;N;N;N;N;1957;;;-34.670;-406.810;66;415
411610;9;S;MOREIRA SALES;PR;N;N;N;S;1960;;;-240.620;-530.070;450;353
431242;7;S;MORMACO;RS;N;N;N;N;1993;;;-286.920;-526.920;410;146
241105;6;S;TIBAU;RN;N;N;S;N;1997;;;-48.370;-372.530;5;162
421795;6;S;TIGRINHOS;SC;N;N;N;S;1997;;;-266.880;-531.580;732;57
241430;8;S;TIMBAUBA DOS BATISTAS;RN;N;N;S;N;1962;;;-64.650;-372.740;161;135
421825;1;S;TIMBO GRANDE;SC;N;N;N;N;1990;;;-266.150;-506.740;925;596
316870;5;S;TIMOTEO;MG;N;N;N;N;1962;;;-195.830;-426.440;333;145
172120;8;S;TOCANTINOPOLIS;TO;N;S;N;N;1989;;;-63.290;-474.160;134;1077
316600;6;S;SENHORA DE OLIVEIRA;MG;N;N;N;N;1953;;;-207.940;-433.440;715;169
110150;0;S;SERINGUEIRAS;RO;N;S;N;S;1993;;;-117.980;-630.310;0;2251
320500;2;S;SERRA;ES;N;N;N;N;1833;;;-201.290;-403.080;70;553
316650;1;S;SERRA AZUL DE MINAS;MG;N;N;N;N;1962;;;-183.620;-431.700;700;222
251580;7;S;SERRA REDONDA;PB;N;N;N;N;1953;;;-71.780;-356.750;391;55
500790;1;S;SIDROLANDIA;MS;N;N;N;S;1953;;;-209.320;-549.610;484;5286
316730;1;S;SILVEIRANIA;MG;N;N;N;N;1962;;;-211.590;-432.150;512;157
316740;0;S;SILVIANOPOLIS;MG;N;N;N;N;1923;;;-220.290;-458.350;897;312
316760;8;S;SIMONESIA;MG;N;N;N;N;1943;;;-201.240;-420.010;591;487
293077;4;S;SOBRADINHO;BA;N;N;S;N;1990;;;-94.550;-408.230;0;1322
355210;6;S;SOCORRO;SP;N;N;N;N;1871;;;-225.910;-465.290;752;448
251610;2;S;SOLEDADE;PB;N;N;S;N;1885;;;-70.570;-363.630;521;560
231300;5;S;SOLONOPOLE;CE;N;N;S;N;1935;;;-57.330;-390.080;155;1536
510792;5;S;SORRISO;MT;N;S;N;N;1987;;;-125.450;-557.110;365;9345
293080;8;S;SOUTO SOARES;BA;N;N;S;N;1962;;;-120.890;-416.380;620;1095
211195;3;S;SUCUPIRA DO RIACHAO;MA;N;N;N;N;1997;;;-64.110;-435.460;290;564
221093;8;S;SUSSUAPARA;PI;N;N;S;N;1997;;;-70.430;-413.840;240;220
432085;9;S;TABAI;RS;N;N;N;N;1997;;;-296.430;-516.820;79;94
355270;0;S;TABATINGA;SP;N;N;N;N;1925;;;-217.170;-486.880;490;366
412580;3;S;SAO PEDRO DO IVAI;PR;N;N;N;N;1954;;;-238.650;-518.560;440;322
312420;3;S;ESPERA FELIZ;MG;N;N;N;N;1938;;;-206.500;-419.070;772;324
170740;5;S;ESPERANTINA;TO;N;S;N;N;1993;;;-53.430;-485.110;0;504
280210;6;S;ESTANCIA;SE;N;N;N;N;1831;;;-112.680;-374.380;53;642
312450;0;S;ESTIVA;MG;N;N;N;N;1948;;;-224.630;-460.170;560;245
312460;9;S;ESTRELA DALVA;MG;N;N;N;N;1953;;;-217.420;-424.610;218;131
520750;1;S;ESTRELA DO NORTE;GO;N;N;N;N;1958;;;-138.680;-490.730;453;301
312490;6;S;EUGENOPOLIS;MG;N;N;N;N;1891;;;-210.990;-421.870;194;310
312080;5;S;CRUZILIA;MG;N;N;N;N;1948;;;-218.390;-448.080;1010;523
250510;5;S;CUITE;PB;N;N;S;N;1936;;;-64.850;-361.570;649;735
260490;8;S;CUMARU;PE;N;N;S;N;1963;;;-80.060;-356.970;443;292
351360;3;S;CUNHA;SP;N;N;N;N;1785;;;-230.740;-449.600;950;1407
312083;9;S;CUPARAQUE;MG;N;N;N;N;1997;;;-189.690;-410.990;180;227
150277;2;S;CURIONOPOLIS;PA;N;S;N;N;1989;;;-60.910;-495.410;180;2368
410700;9;S;CURIUVA;PR;N;N;N;N;1947;;;-240.330;-504.580;776;576
150290;5;S;CURUCA;PA;N;S;N;N;1933;;;-0.7340;-478.550;37;672
520680;0;S;DAMOLANDIA;GO;N;N;N;N;1958;;;-162.530;-493.700;819;84
210375;2;S;DAVINOPOLIS;MA;N;S;N;N;1997;;;-55.580;-474.260;180;337
520357;5;S;BONOPOLIS;GO;N;N;N;N;1997;;;-136.360;-498.100;290;1628
130080;5;S;BORBA;AM;N;S;N;N;1888;;;-43.880;-595.940;45;44251
270110;0;S;BRANQUINHA;AL;N;N;N;N;1962;;;-92.460;-360.150;100;191
240180;0;S;BREJINHO;RN;N;N;S;N;1963;;;-61.910;-353.570;144;58
350790;2;S;BROTAS;SP;N;N;N;N;1859;;;-222.840;-481.270;647;1101
310910;5;S;BUENO BRANDAO;MG;N;N;N;N;1938;;;-224.410;-463.510;1204;355
220202;6;S;BURITI DOS MONTES;PI;N;N;S;N;1993;;;-53.120;-410.980;500;2652
250180;7;S;BAYEUX;PB;N;N;N;N;1959;;;-71.250;-349.320;11;31
310640;8;S;BELO VALE;MG;N;N;N;N;1938;;;-204.080;-440.240;832;365
150150;1;S;BENEVIDES;PA;N;S;N;N;1961;;;-13.610;-482.450;28;187
130063;1;S;BERURI;AM;N;S;N;N;1985;;;-38.980;-613.730;35;17251
350680;5;S;BOCAINA;SP;N;N;N;N;1891;;;-221.360;-485.180;580;364
520340;1;S;BOM JARDIM DE GOIAS;GO;N;N;N;N;1953;;;-162.100;-521.720;386;1850
420430;1;S;CONCORDIA;SC;N;N;N;S;1934;;;-272.340;-520.280;569;797
260460;1;S;CONDADO;PE;N;N;N;N;1958;;;-75.860;-351.060;129;89
430570;2;S;CONDOR;RS;N;N;N;S;1965;;;-282.080;-534.870;451;465
250470;2;S;CONGO;PB;N;N;S;N;1959;;;-77.970;-366.600;480;274
410610;0;S;CONSELHEIRO MAIRINCK;PR;N;N;N;N;1960;;;-236.300;-501.690;520;204
311860;1;S;CONTAGEM;MG;N;N;N;N;1948;;;-199.320;-440.540;902;194
311880;9;S;CORACAO DE JESUS;MG;N;N;N;N;1911;;;-166.850;-443.650;760;2236
351240;7;S;CORDEIROPOLIS;SP;N;N;N;N;1948;;;-224.820;-474.570;668;137
500310;8;S;CORGUINHO;MS;N;N;N;N;1953;;;-198.320;-548.290;320;2640
430590;0;S;CORONEL BICACO;RS;N;N;N;S;1963;;;-277.160;-537.010;468;492
420445;9;S;CORONEL MARTINS;SC;N;N;N;S;1993;;;-265.120;-526.690;695;107
311960;9;S;CORONEL PACHECO;MG;N;N;N;N;1962;;;-215.880;-432.660;484;130
311970;8;S;CORONEL XAVIER CHAVES;MG;N;N;N;N;1962;;;-210.240;-442.230;931;141
311995;5;S;CORREGO FUNDO;MG;N;N;N;N;1997;;;-204.490;-455.550;844;105
260470;0;S;CORRENTES;PE;N;N;S;N;1879;;;-91.290;-363.300;391;339
351280;3;S;COSMOPOLIS;SP;N;N;N;N;1944;;;-226.460;-471.960;652;154
351300;9;S;COTIA;SP;N;N;N;N;1856;;;-236.040;-469.190;853;323
500330;6;S;COXIM;MS;N;N;N;N;1898;;;-185.070;-547.600;238;6411
351310;8;S;CRAVINHOS;SP;N;N;N;N;1897;;;-213.400;-477.290;788;311
311780;1;S;CONCEICAO DOS OUROS;MG;N;N;N;N;1948;;;-224.130;-457.980;863;182
312040;9;S;CRISTIANO OTONI;MG;N;N;N;N;1962;;;-208.320;-438.060;1005;132
231180;1;S;RUSSAS;CE;N;N;S;N;1859;;;-49.400;-379.760;20;1588
315690;8;S;SACRAMENTO;MG;N;N;N;N;1870;;;-198.650;-474.400;832;3071
431643;6;S;SALDANHA MARINHO;RS;N;N;N;S;1989;;;-283.930;-530.950;525;221
421530;7;S;SALETE;SC;N;N;N;N;1961;;;-269.800;-500.000;500;179
261230;7;S;SALOA;PE;N;N;S;N;1963;;;-89.760;-366.880;745;252
330414;4;S;QUEIMADOS;RJ;N;N;N;N;1993;;;-227.160;-435.550;30;76
